text,intent,intent_label
can you walk me through setting up direct deposits to my bank of internet savings account,108,direct_deposit
i want to switch to direct deposit,108,direct_deposit
set up direct deposit for me,108,direct_deposit
how do i go about setting up direct deposit,108,direct_deposit
i need to get my paycheck direct deposited to my chase account,108,direct_deposit
what are the steps to set up direct deposit to my chase account,108,direct_deposit
"if i would like to set up direct deposit, how do i do it",108,direct_deposit
how do i direct deposit my check,108,direct_deposit
what do i need to set up direct deposit,108,direct_deposit
i'd like to have my paycheck direct deposited to my chase account,108,direct_deposit
how is a direct deposit set up,108,direct_deposit
"can you teach me how to set up direct deposit, or show me who can",108,direct_deposit
how can i turn on direct deposit,108,direct_deposit
direct deposit information,108,direct_deposit
i want to set up direct deposit to my first hawaiian bank account,108,direct_deposit
can you tell me how to set up a direct deposit,108,direct_deposit
i'd like to know about setting up direct deposit,108,direct_deposit
tell me how to set up direct deposit,108,direct_deposit
tell me how to set up direct deposit for my paycheck,108,direct_deposit
help setting up direct deposit,108,direct_deposit
please help me set up direct deposit,108,direct_deposit
how can i have my paycheck directly deposited,108,direct_deposit
what do i do to have my paycheck deposited directly in my account,108,direct_deposit
how do i get direct deposit set up,108,direct_deposit
make it so my paycheck goes directly into my savings account,108,direct_deposit
"i want to set up direct deposit for my paycheck, what do i need to do",108,direct_deposit
what is needed for setting up direct deposit,108,direct_deposit
set up a direct deposit,108,direct_deposit
tell me how to set up a direct deposit,108,direct_deposit
how do i set up direct deposit for my paycheck,108,direct_deposit
i need some guidance when it comes to direct deposit,108,direct_deposit
how do i set up instant paycheck,108,direct_deposit
i'd really like to set up a direct deposit for my paycheck,108,direct_deposit
how do i set up direct deposit to my chase account,108,direct_deposit
would you help me set up direct deposit,108,direct_deposit
how do i arrange a direct deposit into my savings account,108,direct_deposit
i need to set up a direct deposit for my paycheck,108,direct_deposit
i need to set up a direct deposit,108,direct_deposit
how do i get my check directly deposited,108,direct_deposit
how can i have my paycheck directly deposited in my account,108,direct_deposit
how do i direct deposit my paycheck,108,direct_deposit
is there a specific way to set up direct deposit,108,direct_deposit
set up direct deposit to my money market account for my pay check,108,direct_deposit
can you tell me how to set up direct depost,108,direct_deposit
can you show me how to set up direct deposit for my paycheck to my first hawaiian bank account,108,direct_deposit
how can i set up direct deposits from my job to my bank,108,direct_deposit
i have a great western bank account i want direct deposits to go to,108,direct_deposit
can you show me how to set up direct deposit,108,direct_deposit
do a websearch for direct deposit set up,108,direct_deposit
what are the steps for setting up direct deposit,108,direct_deposit
what am i allowed to carry on for american airlines,62,carry_on
what are the carry on rules for united,62,carry_on
what can't i carry-on to delta,62,carry_on
tell me united's carry on policy,62,carry_on
what is the carry on limit,62,carry_on
